bulan,tahun,jumlah_hari_libur_cuti,total_hari
1,2015,2,31
2,2015,1,28
3,2015,0,31
4,2015,1,30
5,2015,2,31
6,2015,4,30
7,2015,1,31
8,2015,1,31
9,2015,1,30
10,2015,1,31
11,2015,0,30
12,2015,2,31
1,2016,1,31
2,2016,1,29
3,2016,2,28
4,2016,0,28
5,2016,2,28
6,2016,0,30
7,2016,5,31
8,2016,1,31
9,2016,1,30
10,2016,0,31
11,2016,0,30
12,2016,2,31
1,2017,1,31
2,2017,1,28
3,2017,1,28
4,2017,3,28
5,2017,4,31
6,2017,6,30
7,2017,0,31
8,2017,1,31
9,2017,2,30
10,2017,0,31
11,2017,0,30
12,2017,3,31
1,2018,1,31
2,2018,1,28
3,2018,1,28
4,2018,0,28
5,2018,3,31
6,2018,9,30
7,2018,0,31
8,2018,2,31
9,2018,1,30
10,2018,0,31
11,2018,1,30
12,2018,2,31
1,2019,1,31
2,2019,1,28
3,2019,1,28
4,2019,3,28
5,2019,2,31
6,2019,5,30
7,2019,0,31
8,2019,0,31
9,2019,0,30
10,2019,0,31
11,2019,0,30
12,2019,2,31
1,2020,1,31
2,2020,0,29
3,2020,1,31
4,2020,1,30
5,2020,4,31
6,2020,1,30
7,2020,1,31
8,2020,3,31
9,2020,0,30
10,2020,3,31
11,2020,0,30
12,2020,3,31
1,2021,0,31
2,2021,1,28
3,2021,1,31
4,2021,1,30
5,2021,3,31
6,2021,1,30
7,2021,1,31
8,2021,2,31
9,2021,0,30
10,2021,1,31
11,2021,0,30
12,2021,0,31
1,2022,1,31
2,2022,1,28
3,2022,1,31
4,2022,5,30
5,2022,0,31
6,2022,1,30
7,2022,0,31
8,2022,1,31
9,2022,0,30
10,2022,0,31
11,2022,0,30
12,2022,0,31
1,2023,1,31
2,2023,0,28
3,2023,2,31
4,2023,6,30
5,2023,2,31
6,2023,3,30
7,2023,1,31
8,2023,1,31
9,2023,1,30
10,2023,0,31
11,2023,0,30
12,2023,2,31
1,2024,1,31
2,2024,2,29
3,2024,3,31
4,2024,6,30
5,2024,5,31
6,2024,2,30
