bulan;tahun;jumlah_penumpang
1;2015;8738599
2;2015;7630313
3;2015;9383835
4;2015;8832441
5;2015;9035420
6;2015;8692562
7;2015;7615995
8;2015;8802642
9;2015;8455633
10;2015;8730480
11;2015;8517075
12;2015;8516389
1;2016;8510994
2;2016;8145941
3;2016;9008425
4;2016;9131988
5;2016;10021995
6;2016;10208544
7;2016;9164541
8;2016;11580402
9;2016;11531883
10;2016;12305997
11;2016;12048909
12;2016;12047238
1;2017;11796581
2;2017;10640621
3;2017;12483992
4;2017;11493180
5;2017;12112465
6;2017;9922650
7;2017;11988615
8;2017;12698049
9;2017;12172620
10;2017;13395980
11;2017;13205754
12;2017;12959272
1;2018;13653900
2;2018;12334445
3;2018;14436887
4;2018;14788197
5;2018;14628436
6;2018;11952598
7;2018;16160624
8;2018;17845075
9;2018;17918742
10;2018;18887584
11;2018;18085649
12;2018;18291352
1;2019;18526848
2;2019;17246625
3;2019;20484664
4;2019;19879965
5;2019;19997409
6;2019;18310031
7;2019;23301375
8;2019;23527586
9;2019;24551616
10;2019;26539525
11;2019;25786562
12;2019;26501506
1;2020;13377000
2;2020;12994000
3;2020;9015000
4;2020;2481000
5;2020;2282000
6;2020;4228000
7;2020;5515000
8;2020;5442000
9;2020;4782000
10;2020;4265000
11;2020;5414000
12;2020;5302000
1;2021;9964000
2;2021;9536000
3;2021;11758000
4;2021;11844000
5;2021;10982000
6;2021;11234000
7;2021;6648000
8;2021;6585000
9;2021;8655000
10;2021;10801000
11;2021;12603000
12;2021;13202000
1;2022;14323000
2;2022;10550000
3;2022;14430000
4;2022;13756000
5;2022;13624000
6;2022;16689000
7;2022;16774000
8;2022;17870000
9;2022;18900000
10;2022;18476000
11;2022;18469000
12;2022;17558000
1;2023;20001303
2;2023;18710281
3;2023;21046680
4;2023;16686971
5;2023;22845144
6;2023;22264954
7;2023;24428349
8;2023;25693459
9;2023;26076085
10;2023;29146729
11;2023;29062581
12;2023;28957580
